kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
615,4,150,174,150,150,150,174,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.763Z,2026-01-25T23:26:57.763Z,116,111
619,4,151,157,157,151,157,151,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.774Z,2026-01-25T23:26:57.774Z,116,115
628,4,154,175,154,175,154,175,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.799Z,2026-01-25T23:26:57.799Z,116,111
656,4,165,171,165,165,165,171,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.876Z,2026-01-25T23:26:57.876Z,113,111
671,4,176,203,203,203,203,176,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.915Z,2026-01-25T23:26:57.915Z,110,104
676,4,177,179,179,179,179,177,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.928Z,2026-01-25T23:26:57.928Z,110,110
682,4,178,201,201,201,201,178,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.943Z,2026-01-25T23:26:57.943Z,110,104
691,4,180,184,180,184,180,184,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.981Z,2026-01-25T23:26:57.981Z,109,107
696,4,181,194,181,194,181,194,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.995Z,2026-01-25T23:26:57.995Z,109,106
703,4,182,192,182,182,182,192,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.013Z,2026-01-25T23:26:58.013Z,109,106
708,4,183,193,183,193,183,193,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.026Z,2026-01-25T23:26:58.026Z,109,106
718,4,185,206,206,185,206,185,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.054Z,2026-01-25T23:26:58.054Z,107,103
723,4,186,205,186,205,186,205,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.067Z,2026-01-25T23:26:58.067Z,108,104
727,4,187,234,234,234,234,187,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.079Z,2026-01-25T23:26:58.079Z,108,97
731,4,188,218,218,188,218,188,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.090Z,2026-01-25T23:26:58.090Z,107,101
738,4,189,221,221,221,221,189,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.108Z,2026-01-25T23:26:58.108Z,107,100
743,4,190,211,211,190,211,190,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.121Z,2026-01-25T23:26:58.121Z,107,101
747,4,191,213,213,191,213,191,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.131Z,2026-01-25T23:26:58.131Z,107,102
763,4,195,233,233,195,233,195,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.175Z,2026-01-25T23:26:58.175Z,106,97
768,4,196,208,196,196,196,208,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.193Z,2026-01-25T23:26:58.193Z,106,103
771,4,197,214,214,197,214,197,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.201Z,2026-01-25T23:26:58.201Z,105,102
775,4,198,200,200,200,200,198,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.213Z,2026-01-25T23:26:58.213Z,104,104
777,4,199,240,199,199,199,240,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.219Z,2026-01-25T23:26:58.219Z,105,95
786,4,202,207,207,202,207,202,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.244Z,2026-01-25T23:26:58.244Z,104,103
791,4,204,220,220,220,220,204,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.259Z,2026-01-25T23:26:58.259Z,104,100
808,4,209,231,231,231,231,209,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.303Z,2026-01-25T23:26:58.303Z,103,98
812,4,210,241,210,210,210,241,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.316Z,2026-01-25T23:26:58.316Z,103,95
820,4,212,226,226,226,226,212,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.337Z,2026-01-25T23:26:58.337Z,102,97
826,4,215,236,236,215,236,215,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.352Z,2026-01-25T23:26:58.352Z,102,96
830,4,216,251,216,216,216,251,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.361Z,2026-01-25T23:26:58.361Z,101,93
834,4,217,273,273,273,273,217,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.371Z,2026-01-25T23:26:58.371Z,101,89
839,4,219,250,250,219,250,219,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.382Z,2026-01-25T23:26:58.382Z,99,93
